,name,date,rating
0,Побег из Шоушенка,(1994),9.2
1,Крёстный отец,(1972),9.2
2,Темный рыцарь,(2008),9.0
3,Крёстный отец 2,(1974),9.0
4,12 рaзгневанных мужчин,(1957),9.0
5,Список Шиндлера,(1993),8.9
6,Властелин колец: Возвращение короля,(2003),8.9
7,Криминальное чтиво,(1994),8.8
8,Властелин колец: Братство кольца,(2001),8.8
9,"Хороший, плохой, злой",(1966),8.8
10,Форрест Гамп,(1994),8.8
11,Бойцовский клуб,(1999),8.7
12,Властелин колец: Две крепости,(2002),8.7
13,Начало,(2010),8.7
14,Звёздные войны. Эпизод 5: Империя наносит ответный удар,(1980),8.7
15,Матрица,(1999),8.7
16,Славные парни,(1990),8.7
17,Пролетая над гнездом кукушки,(1975),8.6
18,Семь,(1995),8.6
19,Семь самураев,(1954),8.6
20,Эта замечательная жизнь,(1946),8.6
21,Молчание ягнят,(1991),8.6
22,Спасти рядового Райана,(1998),8.6
23,Город Бога,(2002),8.6
24,Интерстеллар,(2014),8.6
25,Жизнь прекрасна,(1997),8.6
26,Зелёная миля,(1999),8.6
27,Звёздные войны. Эпизод 4: Новая надежда,(1977),8.5
28,Терминатор 2: Судный день,(1991),8.5
29,Назад в будущее,(1985),8.5
30,Унесённые призраками,(2001),8.5
31,Пианист,(2002),8.5
32,Психо,(1960),8.5
33,Паразиты,(2019),8.5
34,Леон,(1994),8.5
35,Король лев,(1994),8.5
36,Гладиатор,(2000),8.5
37,Американская история Икс,(1998),8.5
38,Отступники,(2006),8.5
39,Подозрительные лица,(1995),8.5
40,Престиж,(2006),8.5
41,Одержимость,(2014),8.5
42,Casablanca,(1942),8.5
43,Могила светлячков,(1988),8.5
44,Seppuku,(1962),8.5
45,1+1,(2011),8.5
46,Новые времена,(1936),8.4
47,Однажды на Диком Западе,(1968),8.4
48,Новый кинотеатр «Парадизо»,(1988),8.4
49,Окно во двор,(1954),8.4
50,Чужой,(1979),8.4
51,Огни большого города,(1931),8.4
52,Апокалипсис сегодня,(1979),8.4
53,Помни,(2000),8.4
54,Джанго освобожденный,(2012),8.4
55,Индиана Джонс: В поисках утраченного ковчега,(1981),8.4
56,ВАЛЛ·И,(2008),8.4
57,Жизнь других,(2006),8.4
58,Sunset Blvd.,(1950),8.4
59,Тропы славы,(1957),8.4
60,Сияние,(1980),8.4
61,Великий диктатор,(1940),8.4
